stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,tts_stop_name
1108,Westlake,47.611450,-122.337532,,Westlake to Angle Lake,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/westlake-station,,C03,1,America/Los_Angeles,2,
1121,Westlake,47.611759,-122.335785,,Westlake to Northgate,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/westlake-station,,C03,1,America/Los_Angeles,1,
455,University St,47.607246,-122.335754,,University St to Angle Lake,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/university-street-station,,C05,1,America/Los_Angeles,2,University Street
501,Pioneer Square,47.602139,-122.331055,,Pioneer Square to Angle Lake,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/pioneer-square-station,,C07,1,America/Los_Angeles,2,
532,Pioneer Square,47.603199,-122.331581,,Pioneer Square to Northgate,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/pioneer-square-station,,C07,1,America/Los_Angeles,1,
55578,Rainier Beach,47.522953,-122.279083,,Rainier Beach to Northgate,C29,https://www.soundtransit.org/ride-with-us/stops-stations/rainier-beach-station,,C29,1,America/Los_Angeles,1,
55656,Othello,47.538502,-122.281693,,Othello to Northgate,C27,https://www.soundtransit.org/ride-with-us/stops-stations/othello-station,,C27,1,America/Los_Angeles,1,
55778,Columbia City,47.560280,-122.292892,,Columbia City to Northgate,C25,https://www.soundtransit.org/ride-with-us/stops-stations/columbia-city-station,,C25,1,America/Los_Angeles,1,
55860,Mount Baker,47.576992,-122.297867,,Mount Baker to Northgate,C23,https://www.soundtransit.org/ride-with-us/stops-stations/mount-baker-station-transit-center,,C23,1,America/Los_Angeles,1,
55949,Mount Baker,47.576439,-122.297737,,Mount Baker to Angle Lake,C23,https://www.soundtransit.org/ride-with-us/stops-stations/mount-baker-station-transit-center,,C23,1,America/Los_Angeles,2,
56039,Columbia City,47.559025,-122.292389,,Columbia City to Angle Lake,C25,https://www.soundtransit.org/ride-with-us/stops-stations/columbia-city-station,,C25,1,America/Los_Angeles,2,
56159,Othello,47.537529,-122.281471,,Othello to Angle Lake,C27,https://www.soundtransit.org/ride-with-us/stops-stations/othello-station,,C27,1,America/Los_Angeles,2,
56173,Rainier Beach,47.522266,-122.279587,,Rainier Beach to Angle Lake,C29,https://www.soundtransit.org/ride-with-us/stops-stations/rainier-beach-station,,C29,1,America/Los_Angeles,2,
565,University St,47.608246,-122.336166,,University St to Northgate,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/university-street-station,,C05,1,America/Los_Angeles,1,University Street
621,Int'l Dist/Chinatown,47.598438,-122.327820,,Int'l Dist/Chinatown to Northgate,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/international-district-chinatown-station,,C09,1,America/Los_Angeles,1,International District Chinatown
623,Int'l Dist/Chinatown,47.597660,-122.328217,,Int'l Dist/Chinatown to Angle Lake,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/international-district-chinatown-station,,C09,1,America/Los_Angeles,2,International District Chinatown
990001,U District,47.659875,-122.314194,,U District to Angle Lake,N07,https://www.soundtransit.org/ride-with-us/stops-stations/u-district-station,,N07,1,America/Los_Angeles,2,U District
990002,U District,47.660749,-122.314067,,U District to Northgate,N07,https://www.soundtransit.org/ride-with-us/stops-stations/u-district-station,,N07,1,America/Los_Angeles,1,U District
990003,Roosevelt,47.676107,-122.316041,,Roosevelt to Angle Lake,N09,https://www.soundtransit.org/ride-with-us/stops-stations/roosevelt-station,,N09,1,America/Los_Angeles,2,
990004,Roosevelt,47.677081,-122.315928,,Roosevelt to Northgate,N09,https://www.soundtransit.org/ride-with-us/stops-stations/roosevelt-station,,N09,1,America/Los_Angeles,1,
990005,Northgate,47.702662,-122.328320,,Northgate to/from Angle Lake,N11,https://www.soundtransit.org/ride-with-us/stops-stations/northgate-station,,N11,1,America/Los_Angeles,2,
990006,Northgate,47.703414,-122.328244,,Northgate to/from Angle Lake,N11,https://www.soundtransit.org/ride-with-us/stops-stations/northgate-station,,N11,1,America/Los_Angeles,1,
99101,Stadium,47.591824,-122.327354,,Stadium to Angle Lake,C13,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-station,,C13,1,America/Los_Angeles,2,
99111,SODO,47.579952,-122.327522,,SODO to Angle Lake,C15,https://www.soundtransit.org/ride-with-us/stops-stations/sodo-station,,C15,1,America/Los_Angeles,2,
99121,Beacon Hill,47.579124,-122.311279,,Beacon Hill to Angle Lake,C19,https://www.soundtransit.org/ride-with-us/stops-stations/beacon-hill-station,,C19,1,America/Los_Angeles,2,
99240,Beacon Hill,47.579678,-122.311401,,Beacon Hill to Northgate,C19,https://www.soundtransit.org/ride-with-us/stops-stations/beacon-hill-station,,C19,1,America/Los_Angeles,1,
99256,SODO,47.580589,-122.327263,,SODO to Northgate,C15,https://www.soundtransit.org/ride-with-us/stops-stations/sodo-station,,C15,1,America/Los_Angeles,1,
99260,Stadium,47.592285,-122.326988,,Stadium to Northgate,C13,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-station,,C13,1,America/Los_Angeles,1,
99603,Capitol Hill,47.619621,-122.320038,,Capitol Hill to Northgate,N03,https://www.soundtransit.org/ride-with-us/stops-stations/capitol-hill-station,,N03,1,America/Los_Angeles,1,
99604,Univ of Washington,47.649349,-122.303795,,Univ of Washington to Angle Lake,N05,https://www.soundtransit.org/ride-with-us/stops-stations/university-washington-station,,N05,1,America/Los_Angeles,2,University of Washington
99605,Univ of Washington,47.650312,-122.303736,,Univ of Washington to Northgate,N05,https://www.soundtransit.org/ride-with-us/stops-stations/university-washington-station,,N05,1,America/Los_Angeles,1,University of Washington
99610,Capitol Hill,47.619560,-122.320389,,Capitol Hill to Angle Lake,N03,https://www.soundtransit.org/ride-with-us/stops-stations/capitol-hill-station,,N03,1,America/Los_Angeles,2,
99900,Tukwila Int'l Blvd,47.464272,-122.288399,,Tukwila Int'l Blvd to Angle Lake,C35,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-international-boulevard-station,,C35,1,America/Los_Angeles,2,Tukwila International Boulevard
99903,SeaTac/Airport,47.445053,-122.296692,,SeaTac/Airport to Northgate,C37,https://www.soundtransit.org/ride-with-us/stops-stations/seatac-airport-station,,C37,1,America/Los_Angeles,1,
99904,SeaTac/Airport,47.444969,-122.297028,,SeaTac/Airport to Angle Lake,C37,https://www.soundtransit.org/ride-with-us/stops-stations/seatac-airport-station,,C37,1,America/Los_Angeles,2,
99905,Tukwila Int'l Blvd,47.463924,-122.288002,,Tukwila Int'l Blvd to Northgate,C35,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-international-boulevard-station,,C35,1,America/Los_Angeles,1,Tukwila International Boulevard
99913,Angle Lake,47.422154,-122.297958,,Angle Lake to/from Northgate,S01,https://www.soundtransit.org/ride-with-us/stops-stations/angle-lake-station,,S01,1,America/Los_Angeles,2,
99914,Angle Lake,47.423122,-122.297615,,Angle Lake to/from Northgate,S01,https://www.soundtransit.org/ride-with-us/stops-stations/angle-lake-station,,S01,1,America/Los_Angeles,1,
C03,Westlake,47.611572,-122.336720,,"Westlake Station - 4th Ave & Pine St Seattle, WA 98101",DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/westlake-station,1,,1,America/Los_Angeles,,
C05,University St,47.607810,-122.336020,,"University Street Station - 3rd Ave & Seneca St Seattle, WA 98101",DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/university-street-station,1,,1,America/Los_Angeles,,University Street
C07,Pioneer Square,47.602560,-122.331216,,"Pioneer Square Station - 3rd Ave & James St Seattle, WA 98104",DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/pioneer-square-station,1,,1,America/Los_Angeles,,
C09,Int'l Dist/Chinatown,47.598355,-122.327992,,"International District/Chinatown Station - 5th Ave and S Jackson St Seattle, WA 98104",DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/international-district-chinatown-station,1,,1,America/Los_Angeles,,International District Chinatown
C13,Stadium,47.591108,-122.327172,,"Stadium Station - 501 S Royal Brougham Way Seattle, WA 98134",C13,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-station,1,,1,America/Los_Angeles,,
C15,SODO,47.581074,-122.327390,,"SODO Station - 500 S Lander St Seattle, WA 98134",C15,https://www.soundtransit.org/ride-with-us/stops-stations/sodo-station,1,,1,America/Los_Angeles,,
C19,Beacon Hill,47.579328,-122.311533,,"Beacon Hill Station - 2702 Beacon Ave S Seattle, WA 98144",C19,https://www.soundtransit.org/ride-with-us/stops-stations/beacon-hill-station,1,,1,America/Los_Angeles,,
C23,Mount Baker,47.576550,-122.297679,,"Mount Baker Station & Transit Center - Rainier Ave S & S Forest St Seattle, WA 98144",C23,https://www.soundtransit.org/ride-with-us/stops-stations/mount-baker-station-transit-center,1,,1,America/Los_Angeles,,
C25,Columbia City,47.559733,-122.292692,,"Columbia City Station - 4818 Martin Luther King Jr Way S Seattle, WA 98108",C25,https://www.soundtransit.org/ride-with-us/stops-stations/columbia-city-station,1,,1,America/Los_Angeles,,
C27,Othello,47.537987,-122.281563,,"Othello Station - 7100 Martin Luther King Jr Way S Seattle, WA 98118",C27,https://www.soundtransit.org/ride-with-us/stops-stations/othello-station,1,,1,America/Los_Angeles,,
C29,Rainier Beach,47.522394,-122.279391,,"Rainier Beach Station - 9132 Martin Luther King Jr Way S Seattle, WA 98118",C29,https://www.soundtransit.org/ride-with-us/stops-stations/rainier-beach-station,1,,1,America/Los_Angeles,,
C35,Tukwila Int'l Blvd,47.464031,-122.287996,,"Tukwila International Boulevard Station - 3651 Southcenter Blvd Tukwila, WA 98188",C35,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-international-boulevard-station,1,,1,America/Los_Angeles,,Tukwila International Boulevard
C37,SeaTac/Airport,47.445381,-122.296898,,"SeaTac/Airport Station - International Blvd & S 176th St Seattle, WA 98188",C37,https://www.soundtransit.org/ride-with-us/stops-stations/seatac-airport-station,1,,1,America/Los_Angeles,,
E09,South Bellevue,47.586556,-122.190396,,South Bellevue Station - 2654 Bellevue Way SE Bellevue WA 98004,E09,https://www.soundtransit.org/ride-with-us/stops-stations/south-bellevue-station,1,,1,America/Los_Angeles,,
E09-T1,South Bellevue,47.586210,-122.190201,,South Bellevue to/from Redmond Tech,E09,https://www.soundtransit.org/ride-with-us/stops-stations/south-bellevue-station,,E09,1,America/Los_Angeles,1,
E09-T2,South Bellevue,47.586932,-122.190604,,South Bellevue to/from Redmond Tech,E09,https://www.soundtransit.org/ride-with-us/stops-stations/south-bellevue-station,,E09,1,America/Los_Angeles,2,
E11,East Main,47.608188,-122.191147,,East Main Station - 229 112th Ave SE Bellevue WA 98004,E11,https://www.soundtransit.org/ride-with-us/stops-stations/east-main-station,1,,1,America/Los_Angeles,,
E11-T1,East Main,47.607707,-122.191202,,East Main to South Bellevue,E11,https://www.soundtransit.org/ride-with-us/stops-stations/east-main-station,,E11,1,America/Los_Angeles,1,
E11-T2,East Main,47.608403,-122.191099,,East Main to Redmond Tech,E11,https://www.soundtransit.org/ride-with-us/stops-stations/east-main-station,,E11,1,America/Los_Angeles,2,
E15,Bellevue Downtown,47.615223,-122.192084,,Bellevue Downtown Station - 594 110th Ave NE Bellevue WA 98004,E15,https://www.soundtransit.org/ride-with-us/stops-stations/bellevue-downtown-station,1,,1,America/Los_Angeles,,
E15-T1,Bellevue Downtown,47.615285,-122.192531,,Bellevue Downtown to South Bellevue,E15,https://www.soundtransit.org/ride-with-us/stops-stations/bellevue-downtown-station,,E15,1,America/Los_Angeles,1,
E15-T2,Bellevue Downtown,47.615183,-122.191303,,Bellevue Downtown to Redmond Tech,E15,https://www.soundtransit.org/ride-with-us/stops-stations/bellevue-downtown-station,,E15,1,America/Los_Angeles,2,
E19,Wilburton,47.617967,-122.183762,,Wilburton Station - 855 118th Ave NE Bellevue WA 98005,E19,https://www.soundtransit.org/ride-with-us/stops-stations/wilburton-station,1,,1,America/Los_Angeles,,
E19-T1,Wilburton,47.617909,-122.183806,,Wilburton to South Bellevue,E19,https://www.soundtransit.org/ride-with-us/stops-stations/wilburton-station,,E19,1,America/Los_Angeles,1,
E19-T2,Wilburton,47.618229,-122.183687,,Wilburton to Redmond Tech,E19,https://www.soundtransit.org/ride-with-us/stops-stations/wilburton-station,,E19,1,America/Los_Angeles,2,
E21,Spring District,47.623773,-122.178573,,Spring District Station - 12164 NE Spring Blvd Bellevue WA 98005,E21,https://www.soundtransit.org/ride-with-us/stops-stations/spring-district-station,1,,1,America/Los_Angeles,,
E21-T1,Spring District,47.623772,-122.178901,,Spring District to South Bellevue,E21,https://www.soundtransit.org/ride-with-us/stops-stations/spring-district-station,,E21,1,America/Los_Angeles,1,
E21-T2,Spring District,47.623776,-122.178239,,Spring District to Redmond Tech,E21,https://www.soundtransit.org/ride-with-us/stops-stations/spring-district-station,,E21,1,America/Los_Angeles,2,
E23,BelRed,47.624448,-122.165640,,BelRed Station - 1500 130th Ave NE Bellevue WA 98005,E23,https://www.soundtransit.org/ride-with-us/stops-stations/belred-station,1,,1,America/Los_Angeles,,
E23-T1,BelRed,47.624499,-122.166364,,BelRed to South Bellevue,E23,https://www.soundtransit.org/ride-with-us/stops-stations/belred-station,,E23,1,America/Los_Angeles,1,
E23-T2,BelRed,47.624400,-122.165224,,BelRed to Redmond Tech,E23,https://www.soundtransit.org/ride-with-us/stops-stations/belred-station,,E23,1,America/Los_Angeles,2,
E25,Overlake Village,47.636310,-122.138920,,Overlake Village Station - 2989 112th Ave NE Bellevue WA 98004,E25,https://www.soundtransit.org/ride-with-us/stops-stations/overlake-village-station,1,,1,America/Los_Angeles,,
E25-T1,Overlake Village,47.636151,-122.139236,,Overlake Village to South Bellevue,E25,https://www.soundtransit.org/ride-with-us/stops-stations/overlake-village-station,,E25,1,America/Los_Angeles,1,
E25-T2,Overlake Village,47.636622,-122.138361,,Overlake Village to Redmond Tech,E25,https://www.soundtransit.org/ride-with-us/stops-stations/overlake-village-station,,E25,1,America/Los_Angeles,2,
E27,Redmond Technology,47.644842,-122.133628,,Redmond Technology Station - 3925 152nd Ave NE Redmond WA 98052,E27,https://www.soundtransit.org/ride-with-us/stops-stations/redmond-technology-station,1,,1,America/Los_Angeles,,
E27-T1,Redmond Technology,47.644424,-122.133556,,Redmond Technology to/from South Bellevue,E27,https://www.soundtransit.org/ride-with-us/stops-stations/redmond-technology-station,,E27,1,America/Los_Angeles,1,
